ID,Name,Dumpster,Month,Year,Date,Weight,Volume,PlasticBottles,Polystyrene,CigaretteButts,GlassBottles,PlasticBags,Wrappers,SportsBalls,HomesPowered,plastic_dumping_score,drinking_smoking_score
mister,Mister Trash Wheel,1,May,2014,5/16/2014,4.31,18,1450,1820,126000,72,584,1162,7,0,-1.2619126779986471,3.589004472112328
mister,Mister Trash Wheel,2,May,2014,5/16/2014,2.74,13,1120,1030,91000,42,496,874,5,0,-0.9277194024595544,1.5585042770931659
mister,Mister Trash Wheel,3,May,2014,5/16/2014,3.4499999999999997,15,2450,3100,105000,50,1080,2032,6,0,-0.022252569611066735,1.8753452716606405
mister,Mister Trash Wheel,4,May,2014,5/17/2014,3.1,15,2380,2730,100000,52,896,1971,6,0,-0.2855759209038,2.064765582498378
mister,Mister Trash Wheel,5,May,2014,5/17/2014,4.06,18,980,870,120000,72,368,753,7,0,-1.6649417961457325,3.6788613714757012
mister,Mister Trash Wheel,6,May,2014,5/20/2014,2.71,13,1430,2140,90000,46,672,1144,5,0,-0.6660526522324934,1.7586126636254247
mister,Mister Trash Wheel,7,May,2014,5/21/2014,1.91,8,910,1090,56000,32,416,692,3,0,-0.8674220797293672,0.8881769290910301
mister,Mister Trash Wheel,8,May,2014,5/28/2014,3.7,16,3580,4310,112000,58,1552,3015,6,0,0.6498632743522882,2.2429345724254874
mister,Mister Trash Wheel,9,June,2014,6/5/2014,2.52,14,2400,2790,98000,49,984,1988,6,0,-0.13526615712358514,1.8349487272751515
mister,Mister Trash Wheel,10,June,2014,6/11/2014,3.76,18,1340,1730,130000,75,448,1066,7,0,-1.481369641782824,3.835171811017845
mister,Mister Trash Wheel,11,June,2014,6/11/2014,3.4299999999999997,15,740,869,110000,38,344,544,6,0,-1.0927593440273624,1.3414916578765075
mister,Mister Trash Wheel,12,June,2014,6/12/2014,4.17,19,950,1140,133000,45,520,727,8,0,-0.9786511205496473,1.774374253015418
mister,Mister Trash Wheel,13,June,2014,6/13/2014,5.13,15,530,630,104000,58,224,361,6,0,-1.6658332920761003,2.7673219302628413
mister,Mister Trash Wheel,14,June,2014,6/13/2014,4.17,15,840,760,100000,62,344,631,6,0,-1.5449208864921293,2.99811261104322
mister,Mister Trash Wheel,15,June,2014,6/19/2014,3.28,15,1130,1350,102000,64,432,883,6,0,-1.3778129828532504,3.0908972884870987
mister,Mister Trash Wheel,16,June,2014,6/19/2014,3.05,15,1640,2130,106000,56,752,1327,6,0,-0.7282931229696159,2.4248306571975338
mister,Mister Trash Wheel,17,June,2014,6/28/2014,2.49,13,1350,1620,89000,47,696,1075,5,0,-0.7283620410101491,1.8363579960027603
mister,Mister Trash Wheel,18,July,2014,7/3/2014,2.54,15,1640,1960,108000,65,744,1327,6,0,-0.9241383785773056,3.053209234076668
mister,Mister Trash Wheel,19,July,2014,7/7/2014,2.4099999999999997,15,1730,2100,107000,63,896,1405,6,0,-0.708525374128253,2.8733109839332927
mister,Mister Trash Wheel,20,July,2014,7/11/2014,3.83,18,5960,6540,132000,79,2560,5085,7,0,1.972435994137207,3.3082983516396633
mister,Mister Trash Wheel,21,July,2014,7/14/2014,2.73,15,2170,2620,112000,32,1144,1788,6,0,0.27765356963165566,0.6399195250090874
mister,Mister Trash Wheel,22,July,2014,7/15/2014,4.4,16,1930,2210,115000,53,688,1579,6,0,-0.6510428501412321,2.216297162063836
mister,Mister Trash Wheel,23,July,2014,7/15/2014,2.79,14,3200,3840,98000,25,1464,2684,6,0,1.0665876305652513,0.004650288035694529
mister,Mister Trash Wheel,24,July,2014,7/25/2014,2.5,13,2500,3040,85000,18,1248,2075,5,0,0.7537316725198355,-0.38206896914213867
mister,Mister Trash Wheel,25,August,2014,8/4/2014,4.39,16,2140,2050,118000,68,904,1762,6,0,-0.6998012585341447,3.1990144074006617
mister,Mister Trash Wheel,26,August,2014,8/4/2014,5.33,17,1630,1950,123000,75,512,1318,7,0,-1.333876304788796,3.8004367953910734
mister,Mister Trash Wheel,27,August,2014,8/13/2014,3.58,20,3640,4360,141000,82,1560,3067,8,0,0.22326562028160088,3.9032012077845604
mister,Mister Trash Wheel,28,August,2014,8/13/2014,3.1,17,1430,1870,121000,63,552,1144,7,0,-1.1203134815639786,2.972428211298039
mister,Mister Trash Wheel,29,August,2014,8/19/2014,1.77,10,570,780,32000,21,310,1440,4,0,-0.6052925329411436,0.110817990146707
mister,Mister Trash Wheel,30,September,2014,9/3/2014,3.76,18,4800,3640,310000,110,1880,2200,7,0,-0.22691000400709752,5.8575080190967475
mister,Mister Trash Wheel,31,September,2014,9/24/2014,1.24,8,550,860,18000,11,420,1040,3,0,-0.4086419825741367,-0.5870462789824267
mister,Mister Trash Wheel,32,September,2014,9/26/2014,3.14,15,2240,2880,112000,42,1200,1860,6,0,0.1800849749348157,1.310432047718531
mister,Mister Trash Wheel,33,October,2014,10/3/2014,2.71,16,4220,4840,84000,38,1400,2140,6,0,0.721302026304108,0.9255537812652465
mister,Mister Trash Wheel,34,October,2014,10/9/2014,2.11,14,1400,1650,80000,18,1450,2030,6,0,0.7869909337320765,-0.39592970998454297
mister,Mister Trash Wheel,35,October,2014,10/20/2014,4.09,18,2820,3010,78000,7,990,1450,7,0,0.5671307657839468,-1.0519750360450382
mister,Mister Trash Wheel,36,October,2014,10/20/2014,2.3099999999999996,14,1900,2240,81000,22,840,1260,6,0,0.001443137388509133,0.048409775546140496
mister,Mister Trash Wheel,37,October,2014,10/24/2014,3.5,15,3650,3880,94000,51,1210,1840,6,0,0.12148886951233429,1.9064404015734118
mister,Mister Trash Wheel,38,November,2014,11/06/14,2.7,15,760,1680,22000,18,960,1720,6,0,0.21874740009951377,-0.2772431517960757
mister,Mister Trash Wheel,39,November,2014,11/17/14,3.25,18,1250,2730,46000,28,1130,2340,7,0,0.45457848921493865,0.32442471025131886
mister,Mister Trash Wheel,40,November,2014,11/20/14,3.84,15,880,1840,35000,14,730,1760,6,0,0.1099385568082241,-0.5063006904185822
mister,Mister Trash Wheel,41,November,2014,11/28/14,2.88,15,1800,3970,52000,32,560,1850,6,0,-0.16262381659146416,0.7322635073452746
mister,Mister Trash Wheel,42,December,2014,12/1/2014,1.81,17,1370,3140,38000,28,950,1620,7,0,0.13809686936230817,0.39601439877475464
mister,Mister Trash Wheel,43,December,2014,12/17/2014,3.48,15,550,1450,22000,34,740,1280,6,0,-0.4340658484204339,0.9094130711722935
mister,Mister Trash Wheel,44,December,2014,12/30/2014,3.18,15,640,1670,26000,42,880,1540,6,0,-0.36795638280674775,1.4134145584569187
mister,Mister Trash Wheel,45,January,2015,1/12/2015,2.8699999999999997,17,1160,2250,31000,60,1120,2450,7,0,-0.1938581080097213,2.5425478169197047
mister,Mister Trash Wheel,46,January,2015,1/23/2015,2,14,1570,2400,33000,37,380,910,6,0,-0.8177301994057126,1.1993474387689471
mister,Mister Trash Wheel,47,January,2015,1/26/2015,2.14,13,1340,2650,28000,46,430,1170,5,0,-0.862925159925039,1.7915289861084969
mister,Mister Trash Wheel,48,February,2015,2/4/2015,2.54,15,1740,2250,22000,38,320,980,3,42,-0.891641640363572,1.2786374771479057
mister,Mister Trash Wheel,49,March,2015,3/9/2015,3.82,18,2870,3240,25000,26,540,860,8,64,-0.3679769166253967,0.3840189680523942
mister,Mister Trash Wheel,50,March,2015,3/13/2015,1.83,15,3120,5430,32000,54,650,1120,16,31,-0.5307063223522049,2.241579847166667
mister,Mister Trash Wheel,51,March,2015,3/27/2015,2.02,15,2780,4980,26000,47,470,960,14,34,-0.655977506065542,1.8148475947470823
mister,Mister Trash Wheel,52,April,2015,4/8/2015,2.5,18,2240,2360,27000,46,270,840,13,42,-1.0995095828554495,1.8486873706039826
mister,Mister Trash Wheel,53,April,2015,4/10/2015,3.4099999999999997,15,2550,3420,32000,32,320,1260,16,57,-0.5709231478406481,0.8242487056967589
mister,Mister Trash Wheel,54,April,2015,4/19/2015,1.83,11,1470,1840,18000,22,240,680,8,31,-0.7731209271355125,0.21372822234345779
mister,Mister Trash Wheel,55,April,2015,4/20/2015,3.84,18,1240,1630,23000,18,430,760,5,64,-0.5205606229410886,-0.10461887658443615
mister,Mister Trash Wheel,56,April,2015,4/20/2015,3.22,15,1150,1420,19000,16,370,590,8,54,-0.6008753709189854,-0.2164904904112807
mister,Mister Trash Wheel,57,April,2015,4/20/2015,3.03,15,2850,3160,18000,15,350,610,11,0,-0.40534976954823676,-0.3204731000152572
mister,Mister Trash Wheel,58,April,2015,4/20/2015,2.64,18,960,1280,22000,22,450,820,7,0,-0.5989077824852961,0.17165186742451335
mister,Mister Trash Wheel,59,April,2015,4/20/2015,3.54,15,870,1140,18000,17,330,620,6,59,-0.6825663158597945,-0.1340494067436089
mister,Mister Trash Wheel,60,May,2015,5/15/2015,1.95,9,1340,2150,22000,16,190,530,8,33,-0.7163038753803878,-0.18683419024822903
mister,Mister Trash Wheel,61,May,2015,5/17/2015,4.25,18,2630,3480,38000,36,1240,1760,22,71,0.35980114267508734,0.8668455493762081
mister,Mister Trash Wheel,62,May,2015,5/17/2015,5.619999999999999,15,1850,3270,54000,44,970,1320,28,94,-0.18512095253792285,1.5145759190181203
mister,Mister Trash Wheel,63,May,2015,5/18/2015,3.81,15,2830,3780,48000,28,650,1130,19,64,-0.17089268843882205,0.475969254407842
mister,Mister Trash Wheel,64,May,2015,5/19/2015,3.4499999999999997,18,1740,2630,32000,16,820,1250,32,58,0.13404936822272343,-0.37745093328447693
mister,Mister Trash Wheel,65,May,2015,5/19/2015,3.34,15,2780,3250,37000,32,1140,1960,24,56,0.377535644907729,0.6046892129895927
mister,Mister Trash Wheel,66,June,2015,6/1/2015,2.54,15,1260,1830,56000,56,1230,2140,26,42,-0.10373487199161677,2.2701292598733045
mister,Mister Trash Wheel,67,June,2015,6/9/2015,4.659999999999999,18,2340,3460,48000,42,1620,1840,36,78,0.629651452118325,1.195354593918416
mister,Mister Trash Wheel,68,June,2015,6/9/2015,3.3899999999999997,15,3240,4360,33000,23,1430,1760,24,57,0.8801622450322447,-0.0948241030785677
mister,Mister Trash Wheel,69,June,2015,6/9/2015,3.17,15,940,1220,35000,18,840,960,9,53,-0.11856473678123025,-0.19698462525384247
mister,Mister Trash Wheel,70,June,2015,6/9/2015,3.15,18,830,1150,37000,26,920,1050,16,53,-0.17671946195756363,0.3356741253789586
mister,Mister Trash Wheel,71,June,2015,6/9/2015,3.83,15,960,1190,33000,22,730,940,22,0,-0.2966687986343715,0.10554459605134839
mister,Mister Trash Wheel,72,June,2015,6/10/2015,4.78,15,870,1040,32000,24,820,960,17,80,-0.2649246733844342,0.22580460985357695
mister,Mister Trash Wheel,73,June,2015,6/10/2015,3.85,18,920,1290,34000,26,930,1020,13,0,-0.1641386500606403,0.3317930235799515
mister,Mister Trash Wheel,74,June,2015,6/10/2015,4.48,15,1130,1370,38000,29,1270,1450,14,0,0.22101245093623115,0.4376783351800688
mister,Mister Trash Wheel,75,June,2015,6/10/2015,4.18,15,1060,1250,37000,27,1340,1420,21,0,0.31145694571719273,0.2874778693105921
mister,Mister Trash Wheel,76,June,2015,6/10/2015,3.38,18,740,930,34000,19,1130,1340,15,0,0.2071111818673884,-0.2082804427556339
mister,Mister Trash Wheel,77,June,2015,6/10/2015,3.83,15,950,1220,35000,21,1370,1430,13,0,0.44608430176062225,-0.13443261813438115
mister,Mister Trash Wheel,78,June,2015,6/12/2015,3.95,15,2340,3250,65000,45,2730,3340,18,0,1.9710343748312673,1.0772036261145184
mister,Mister Trash Wheel,79,June,2015,6/15/2015,2.44,18,2660,3420,72000,37,2430,3170,16,41,1.821383842866128,0.5971013725253262
mister,Mister Trash Wheel,80,June,2015,6/18/2015,2.8499999999999996,15,2430,3120,68000,35,2370,2820,22,48,1.6870394958028438,0.4974870230247707
mister,Mister Trash Wheel,81,June,2015,6/24/2015,3.4299999999999997,15,2690,3370,82000,29,1910,2180,32,57,1.2464434038944794,0.21778609374974342
mister,Mister Trash Wheel,82,June,2015,6/24/2015,4.28,18,1540,1780,45000,24,1830,1990,18,71,1.032623113497248,-0.07201189703300362
mister,Mister Trash Wheel,83,June,2015,6/24/2015,3.94,15,1240,1450,37000,31,1650,1780,21,66,0.639235037568989,0.4704190095099595
mister,Mister Trash Wheel,84,June,2015,6/28/2015,3.38,15,2870,3560,68000,36,2140,2450,34,56,1.414482327372041,0.6292251690441046
mister,Mister Trash Wheel,85,June,2015,6/28/2015,3.4499999999999997,18,2450,3240,74000,41,2320,2750,19,58,1.5166272172875086,0.9266765395157204
mister,Mister Trash Wheel,86,June,2015,6/29/2015,3.93,15,1830,2240,36000,28,1630,2450,14,66,0.924353582850069,0.212479984672256
mister,Mister Trash Wheel,87,July,2015,7/7/2015,4.07,15,2360,3120,82000,32,1840,2950,22,68,1.2814509648093266,0.4032769073263588
mister,Mister Trash Wheel,88,July,2015,7/8/2015,3.03,18,2640,3520,68000,28,1460,2630,16,51,0.9509029808466681,0.2188095718610642
mister,Mister Trash Wheel,89,July,2015,7/14/2015,3.52,15,2840,3360,65000,41,1690,2580,25,59,0.9001345150922375,1.0720364735355532
mister,Mister Trash Wheel,90,July,2015,7/14/2015,3.51,15,2640,3120,76000,38,2130,2760,27,59,1.3983449349411001,0.76279062585192
mister,Mister Trash Wheel,91,July,2015,7/27/2015,3.68,18,3070,4250,82000,26,1770,2540,18,61,1.337992192261745,0.0034026935983318667
mister,Mister Trash Wheel,92,July,2015,7/29/2015,3.4,15,2820,3740,75000,31,2400,2940,20,57,1.8862690309748231,0.1953741790251745
mister,Mister Trash Wheel,93,August,2015,8/4/2015,3.72,15,2640,3250,68000,26,1860,2730,17,62,1.3688002375793669,-0.009509856272710174
mister,Mister Trash Wheel,94,August,2015,8/18/2015,1.84,9,870,980,34000,13,750,930,56,31,-0.09843032450265021,-0.5176343122754121
mister,Mister Trash Wheel,95,August,2015,8/21/2015,3,15,3220,3460,67000,36,2170,2450,32,50,1.4387454171371448,0.6233355188870723
mister,Mister Trash Wheel,96,August,2015,8/25/2015,4.33,18,1980,2190,48000,21,1600,1840,22,72,0.8848927106227559,-0.22843503338751814
mister,Mister Trash Wheel,97,August,2015,8/25/2015,4.3,15,410,540,3000,16,250,330,6,0,-0.8792985226020094,-0.15871173035626174
mister,Mister Trash Wheel,98,August,2015,8/26/2015,3.3899999999999997,15,640,780,32000,18,350,560,3,0,-0.73297766624047,-0.056031513159237954
mister,Mister Trash Wheel,99,September,2015,9/11/2015,4.08,18,2730,3140,54000,45,2430,2680,17,0,1.514053037060972,1.1808693501451673
mister,Mister Trash Wheel,100,September,2015,9/11/2015,3.62,15,1360,1570,26000,25,1420,1570,13,0,0.4879224852898791,0.11407559408448703
mister,Mister Trash Wheel,101,September,2015,9/22/2015,2.4,7,760,1030,24000,16,780,1340,12,0,-0.06108907963934814,-0.3413444387239451
mister,Mister Trash Wheel,102,September,2015,9/30/2015,4.24,18,1240,1460,46000,43,860,920,7,0,-0.5638250823964414,1.52788528189742
mister,Mister Trash Wheel,103,September,2015,9/30/2015,3.3099999999999996,15,800,920,32000,26,270,450,8,55,-0.9711459335141203,0.5186643768067671
mister,Mister Trash Wheel,104,October,2015,10/12/2015,2.9,15,2540,2780,42000,54,2230,3140,16,0,1.2285692464184816,1.8278882394558422
mister,Mister Trash Wheel,105,October,2015,10/27/2015,2.46,18,2130,2560,34000,43,1970,2430,23,41,0.9911636297584738,1.1686340270787166
mister,Mister Trash Wheel,106,October,2015,10/31/2015,2.8899999999999997,15,2670,2820,36000,35,2450,2830,33,48,1.7423679543367223,0.4786341845386807
mister,Mister Trash Wheel,107,November,2015,11/20/2015,4.46,15,1940,2230,28000,47,2960,3320,27,0,2.0418209172151314,1.1797190954640204
mister,Mister Trash Wheel,108,December,2015,12/2/2015,3.42,18,2140,2570,19000,62,3100,3540,15,0,1.9614382204657805,2.1660758303291585
mister,Mister Trash Wheel,109,December,2015,12/2/2015,3.56,15,1960,2340,21000,56,3300,4120,21,0,2.39499650480496,1.678247675861072
mister,Mister Trash Wheel,110,December,2015,12/23/2015,1.92,12,1640,2150,32000,32,2430,2660,9,32,1.6374191013737007,0.30050901738509783
mister,Mister Trash Wheel,111,December,2015,12/24/2015,2.9,18,1850,2670,33000,36,2770,3240,13,48,2.082076262017368,0.45817398259360886
mister,Mister Trash Wheel,112,December,2015,12/26/2015,3.24,15,2370,3240,24000,42,1830,2250,22,54,0.8939507300663352,1.1256412533420643
mister,Mister Trash Wheel,113,December,2015,12/26/2015,4.41,15,2530,3300,41000,47,2190,3540,17,74,1.474337749949309,1.319485986489571
mister,Mister Trash Wheel,114,December,2015,12/26/2015,3.3899999999999997,18,2720,3690,23000,22,2520,3360,27,57,2.263539671351275,-0.48572411877870103
mister,Mister Trash Wheel,115,December,2015,12/26/2015,3.27,15,2250,3180,37000,63,2740,2840,8,55,1.4807964946964698,2.3465740242974
mister,Mister Trash Wheel,116,January,2016,1/10/2016,3.6,15,3240,4160,28000,54,1360,2580,17,60,0.39898292043781447,2.0233817593659245
mister,Mister Trash Wheel,117,February,2016,2/2/2016,4.06,18,3530,4620,24000,62,1850,2210,14,68,0.6549858016012646,2.478593863032727
mister,Mister Trash Wheel,118,February,2016,2/3/2016,2.11,15,2340,3870,31000,46,2130,2680,21,35,1.2655172407119044,1.3004032047095817
mister,Mister Trash Wheel,119,February,2016,2/5/2016,3.01,15,2460,3640,27000,38,1920,2390,26,50,1.1331689187027234,0.8132442323880738
mister,Mister Trash Wheel,120,February,2016,2/17/2016,3.4099999999999997,18,1340,1680,24000,22,1530,1940,6,57,0.7466138856656707,-0.14138702661883978
mister,Mister Trash Wheel,121,February,2016,2/19/2016,3.66,15,950,1120,21000,32,1370,1640,4,61,0.26642932466462854,0.6149105835794998
mister,Mister Trash Wheel,122,February,2016,2/25/2016,4.51,15,2240,3150,36000,46,2450,3140,16,75,1.615588078813634,1.217760643132754
mister,Mister Trash Wheel,123,March,2016,3/1/2016,2.8899999999999997,18,3050,3270,29000,24,1740,2250,24,48,1.1758987902943392,-0.1019885573445032
mister,Mister Trash Wheel,124,March,2016,3/11/2016,2.8899999999999997,15,1630,1820,18000,37,2150,2390,23,48,1.1861100818052956,0.7282177411825697
mister,Mister Trash Wheel,125,March,2016,3/12/2016,2.51,15,1120,1460,17000,43,2270,2490,18,42,1.1623663840426093,1.1193055396905558
mister,Mister Trash Wheel,126,March,2016,3/15/2016,3.58,18,3340,3640,45000,48,3450,3740,46,60,2.7647446857349407,1.0873673805339084
mister,Mister Trash Wheel,127,March,2016,3/29/2016,3.4099999999999997,15,3560,3740,43000,53,3320,3570,38,57,2.508343076562119,1.4694809501290613
mister,Mister Trash Wheel,128,April,2016,4/8/2016,2.79,15,2460,3150,38000,46,3540,3840,24,47,2.83250350157229,0.9342069771558977
mister,Mister Trash Wheel,129,April,2016,4/30/2016,4.21,18,3860,4240,47000,18,3200,3470,36,70,3.0955969260805056,-0.9305861825042807
mister,Mister Trash Wheel,130,April,2016,4/30/2016,4.88,15,3230,3640,52000,27,3750,3940,42,81,3.500601700118327,-0.443162212505862
mister,Mister Trash Wheel,131,April,2016,4/30/2016,4.470000000000001,15,3760,4150,45000,40,2840,3270,23,75,2.2591961539325967,0.6860194899642779
mister,Mister Trash Wheel,132,April,2016,4/30/2016,3.29,18,3640,3520,52000,33,2530,2940,34,55,1.9712332547834823,0.3026592985538264
mister,Mister Trash Wheel,133,May,2016,5/7/2016,4.159999999999999,15,4230,4620,53000,34,2727,3360,38,69,2.357302882735848,0.28155553411278383
mister,Mister Trash Wheel,134,May,2016,5/12/2016,2.9299999999999997,15,3590,3840,47000,42,1760,2640,26,49,1.0146798560425234,1.108025541339611
mister,Mister Trash Wheel,135,May,2016,5/31/2016,2.3699999999999997,18,3740,4120,56000,65,1680,2530,32,40,0.5026434517595525,2.719915235581474
mister,Mister Trash Wheel,136,June,2016,6/15/2016,2.57,15,4200,4630,38000,53,1480,1760,43,43,0.40794768031461043,1.9634007175112311
mister,Mister Trash Wheel,137,June,2016,6/16/2016,2.3899999999999997,15,3840,3990,41000,32,1540,2030,38,40,0.8716260883824166,0.4947401846562638
mister,Mister Trash Wheel,138,June,2016,6/21/2016,3.98,15,4350,4120,45000,42,1630,2140,24,66,0.8024171211275811,1.1576929760296777
mister,Mister Trash Wheel,139,June,2016,6/22/2016,3.47,15,3960,3720,52000,38,1870,2200,35,58,1.0892423335489512,0.8334319424100807
mister,Mister Trash Wheel,140,June,2016,6/24/2016,3.97,18,4150,3970,48000,41,1530,1700,26,66,0.6008973584032689,1.1396295457413308
mister,Mister Trash Wheel,141,June,2016,6/30/2016,3.12,18,4450,4310,58000,43,2130,2410,29,52,1.3499824082343754,1.098087547436909
mister,Mister Trash Wheel,142,July,2016,7/1/2016,3.17,15,3460,3820,43000,38,2240,2670,31,53,1.5505598780498975,0.7222263316411284
mister,Mister Trash Wheel,143,July,2016,7/13/2016,2.12,15,2850,3120,52000,53,1930,2150,28,35,0.7625790452608352,1.8758943713599263
mister,Mister Trash Wheel,144,July,2016,7/23/2016,2.3099999999999996,18,3560,3780,65000,33,2460,2520,34,39,1.8239268439867693,0.33952457698505
mister,Mister Trash Wheel,145,July,2016,7/28/2016,3.16,15,4130,4360,52000,54,2610,2900,26,53,1.7084416511580915,1.7235854526690129
mister,Mister Trash Wheel,146,July,2016,7/29/2016,4.02,15,4350,4600,55000,34,2430,2780,38,67,1.9310243938639762,0.381161424588396
mister,Mister Trash Wheel,147,July,2016,7/29/2016,3.26,18,4420,4850,65000,48,2340,2580,25,54,1.5407875994366282,1.3786977258927617
mister,Mister Trash Wheel,148,July,2016,7/31/2016,3.82,15,2130,2240,35000,45,1830,2140,16,64,0.7128872613111729,1.3611992026872053
mister,Mister Trash Wheel,149,July,2016,7/31/2016,4.88,15,2450,2500,32000,33,1950,2070,24,81,1.075003907412943,0.5011837987507712
mister,Mister Trash Wheel,150,August,2016,8/4/2016,5.05,18,2300,2260,16000,28,1360,1650,15,84,0.4720527036698202,0.31317468670436543
mister,Mister Trash Wheel,151,August,2016,8/16/2016,2.79,15,2850,3120,34000,42,2100,2630,31,47,1.2543321704061638,1.0462082111384392
mister,Mister Trash Wheel,152,August,2016,8/17/2016,3.47,15,2640,2900,38000,37,2340,2760,22,58,1.5802637083985027,0.6447231722349958
mister,Mister Trash Wheel,153,August,2016,8/19/2016,4.01,18,3250,3570,42000,56,2700,3020,28,67,1.6963935889011443,1.8509401700754882
mister,Mister Trash Wheel,154,August,2016,8/24/2016,3.18,15,2530,2740,52000,38,2810,3150,32,53,2.0993422857125594,0.5923240081752269
mister,Mister Trash Wheel,155,September,2016,9/2/2016,3.13,15,2780,2640,38000,21,2130,2830,15,52,1.6829831013841854,-0.41525332355110833
